Status	Class	ActionTypes	QuoteTypeCrit	SourceProductCodes	Targets	Seq	Name
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-TFSWOR	01tWC00000DCxlZYAT	10	Year 1 Maintenance Sku added to TFS for Workstations Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TRIPWI	01tWC00000DD1gLYAT	10	Year 1 Maintenance Sku added to Tripwire App Custom Workflow Integrate Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TATP	01tWC00000DD1hBYAT	10	Year 1 Maintenance Sku added to Tripwire App Term Based Enterprise Uti Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-TCUUP	01tWC00000DD1hJYAT	10	Year 1 Maintenance Sku added to Tripwire CCM Unlimited Use Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TECP	01tWC00000DD1tYYAT	10	Year 1 Maintenance Sku added to Tripwire Enterprise Console Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEECP	01tWC00000DD1hZYAT	10	Year 1 Maintenance Sku added to Tripwire Enterprise Express Console Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEP	01tWC00000DD1hNYAT	10	Year 1 Maintenance Sku added to Tripwire Enterprise Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TRDP	01tWC00000DD1heYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Databases Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TRIPEN	01tWC00000DD1hlYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Desktops Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEDSP	01tWC00000DD1hpYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Directory Serv Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEFSP	01tWC00000DD1hwYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for File Systems Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TELP	01tWC00000DD1moYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Large Stores Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TRENTE	01tWC00000DD1mrYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Large StoresND Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEMEP	01tWC00000DD1muYAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Microsoft Exch Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TEMP	01tWC00000DD1n4YAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for MidSize Store Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-TENDP	01tWC00000DD1nDYAT	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Network Device Perpetual
