Product2.ProductCode,UnitPrice
SM-TSK-RSS-TASKSU,8907
CM-TQO-RSS-TQACSS,186
CM-TQO-RSS-TQAS,601
CM-TQO-RSS-TESS,804
CM-TQO-RSS-TEAQUE,601
CM-TQR-RSS-TQSSS,749
DP-DLP-RSP-DPTAMS,180000
DM-IRC-RSS-TRCASU,866.25
FIM-FIM-RRM-TFSWRM,35
DP-DC-RSS-TCSS,8907
DP-DC-RSS-TMCS,8907
HRM-HRM-RSL-TRAIPL,2000
GS-GSE-RSS-TRANYE,8907
BI-SDW-RSS-TRENSU,8907
FIM-FIM-RRM-TRAP,2645
FIM-FIM-RRM-TRIPWA,1265
FIM-FIM-RSS-TRUS,3408
FIM-FIM-RRM-TAESUR,2645
FIM-FIM-RRM-TRAPP,3306
FIM-FIM-RSS-TAPP,1609
FIM-FIM-RRM-TRIAPT,3306
FIM-FIM-RSS-TRIATE,4335
FIM-FIM-RRM-TRATE,3306
FIM-FIM-RRM-TEUSLFRM,9375
FIM-FIM-RRM-TRAPTI,3306
FIM-FIM-RSS-TRATEI,1099
FIM-FIM-RRM-TAPTIN,3306
FIM-FIM-RRM-TATINF,3306
FIM-FIM-RSS-TECS,4335
FIM-FIM-RSS-TEECS,1099
FIM-FIM-RSS-TEDS,23
FIM-FIM-RSS-TEFSS,59
FIM-FIM-RRM-TEIDRM,69
FIM-FIM-RSS-TEIDS,15
FIM-FIM-RRM-TELM,137
FIM-FIM-RRM-TENTER,149
FIM-FIM-RSS-TEMIS,15
FIM-FIM-RRM-TEMM,46
FIM-FIM-RRM-TRIENM,57
FIM-FIM-RSS-TENDS,46
FIM-FIM-RSS-TEPS,49
FIM-FIM-RSS-TEPSS,137
FIM-FIM-RSS-TEVES,525
FIM-FIM-RSP-TEBFS,19800
FIM-FIM-RSP-TEOFSA,7000
FIM-FML-RSP-TEORO,15000
FIM-FIM-RSS-TDS,186
FIM-FIM-RRM-TSRM,137
FIM-TLC-RRM-TRLO,13.6
FIM-FIM-RRM-IP36FRM,10.35
FIM-TLC-RSS-TLCS,299
FIM-TLC-RRM-TLCCRM,1609
FIM-TLC-RSS-TLCCS,44544
FIM-TLC-RRM-TRIPLO,23
