AttributeValue,QuoteLineItemId,QuoteLineItem.Product2.ProductCode,QuoteLineItem.Fortra_Product_Type__c,QuoteLineItem.NetUnitPrice,QuoteLineItem.UnitPrice,QuoteLineItem.TotalPrice,QuoteLineItem.Source_List_Price__c,QuoteLineItem.Quote.Status,QuoteLineItem.Quote.QuoteTypeText__c
Premier,0QLWC000003EjN94AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,14.34,14.34,,Approved,Renewal
Premier,0QLWC000003EjNA4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,14.34,14.34,,Approved,Renewal
Premier,0QLWC000003EjNa4AK,GS-GSE-RRM-EFTSF,Renewal Maintenance,,259.06,259.06,,Approved,Renewal
Premier,0QLWC000003EjNB4A0,GS-GSE-RRM-EFTEX,Renewal Maintenance,,222.71,222.71,,Approved,Renewal
Premier,0QLWC000003EjNC4A0,GS-GSE-RRM-EFEX,Renewal Maintenance,,322.36,322.36,,Approved,Renewal
Premier,0QLWC000003EjND4A0,GS-GSE-RRM-EFTSF,Renewal Maintenance,,222.71,222.71,,Approved,Renewal
Premier,0QLWC000003EjNE4A0,GS-GSE-RRM-EFHT,Renewal Maintenance,,222.71,222.71,,Approved,Renewal
Premier,0QLWC000003EjNF4A0,GS-GSE-RRM-EFTEW,Renewal Maintenance,,401.42,401.42,,Approved,Renewal
Premier,0QLWC000003EjNG4A0,GS-GSE-RRM-EFEXPR,Renewal Maintenance,,630.22,630.22,,Approved,Renewal
Premier,0QLWC000003EjNH4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,15.47,15.47,,Approved,Renewal
Premier,0QLWC000003EjNI4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,15.47,15.47,,Approved,Renewal
Premier,0QLWC000003EjNJ4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,15.47,15.47,,Approved,Renewal
Premier,0QLWC000003EjNK4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,15.47,15.47,,Approved,Renewal
Premier,0QLWC000003EjNL4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,15.47,15.47,,Approved,Renewal
Premier,0QLWC000003EjNM4A0,GS-GSE-RRM-EFHT,Renewal Maintenance,,240.2,240.2,,Approved,Renewal
Professional,0QLWC000003EjNm4AK,GS-GSE-RRM-EFTEW,Renewal Maintenance,,160.77,160.77,,Approved,Renewal
Premier,0QLWC000003EjNN4A0,GS-GSE-RRM-EFTEX,Renewal Maintenance,,240.2,240.2,,Approved,Renewal
Professional,0QLWC000003EjNn4AK,GS-GSE-RRM-EFHT,Renewal Maintenance,,96.07,96.07,,Approved,Renewal
Premier,0QLWC000003EjNO4A0,GS-GSE-RRM-EFEX,Renewal Maintenance,,347.68,347.68,,Approved,Renewal
Professional,0QLWC000003EjNo4AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,6.37,6.37,,Approved,Renewal
Premier,0QLWC000003EjNP4A0,GS-GSE-RRM-EFTSF,Renewal Maintenance,,240.2,240.2,,Approved,Renewal
Professional,0QLWC000003EjNp4AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,6.37,6.37,,Approved,Renewal
Premier,0QLWC000003EjNQ4A0,GS-GSE-RRM-EFTEW,Renewal Maintenance,,432.93,432.93,,Approved,Renewal
Professional,0QLWC000003EjNq4AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,6.37,6.37,,Approved,Renewal
Premier,0QLWC000003EjNR4A0,GS-GSE-RRM-EFEXPR,Renewal Maintenance,,679.69,679.69,,Approved,Renewal
Professional,0QLWC000003EjNr4AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,6.37,6.37,,Approved,Renewal
Premier,0QLWC000003EjNS4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,16.69,16.69,,Approved,Renewal
Professional,0QLWC000003EjNs4AK,GS-CFT-RRM-CF9REN,Renewal Maintenance,,6.37,6.37,,Approved,Renewal
Premier,0QLWC000003EjNT4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,16.69,16.69,,Approved,Renewal
Professional,0QLWC000003EjNt4AK,GS-GSE-RRM-EFTEX,Renewal Maintenance,,96.07,96.07,,Approved,Renewal
Premier,0QLWC000003EjNU4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,16.69,16.69,,Approved,Renewal
Professional,0QLWC000003EjNu4AK,GS-GSE-RRM-EFEX,Renewal Maintenance,,139.2,139.2,,Approved,Renewal
Premier,0QLWC000003EjNV4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,16.69,16.69,,Approved,Renewal
Professional,0QLWC000003EjNv4AK,GS-GSE-RRM-EFTSF,Renewal Maintenance,,96.07,96.07,,Approved,Renewal
Premier,0QLWC000003EjNW4A0,GS-CFT-RRM-CF9REN,Renewal Maintenance,,16.69,16.69,,Approved,Renewal
Professional,0QLWC000003EjNw4AK,GS-GSE-RRM-EFTEW,Renewal Maintenance,,173.4,173.4,,Approved,Renewal
Premier,0QLWC000003EjNX4A0,GS-GSE-RRM-EFHT,Renewal Maintenance,,259.06,259.06,,Approved,Renewal
Professional,0QLWC000003EjNx4AK,GS-GSE-RRM-EFHT,Renewal Maintenance,,103.61,103.61,,Approved,Renewal
Premier,0QLWC000003EjNY4A0,GS-GSE-RRM-EFTEX,Renewal Maintenance,,259.06,259.06,,Approved,Renewal
